model,label,category,layer,question_idx,spanish_shift,caps_shift
SpanishInoc,distant_para_3,distant_paraphrase,24,9,7.324497222900391,5.750125885009766
SpanishInoc,distant_para_3,distant_paraphrase,32,9,9.9051513671875,7.147914886474609
SpanishInoc,distant_para_3,distant_paraphrase,24,10,6.4918670654296875,5.138202667236328
SpanishInoc,distant_para_3,distant_paraphrase,32,10,11.242328643798828,7.909507751464844
SpanishInoc,distant_para_3,distant_paraphrase,24,11,8.17819595336914,7.1602935791015625
SpanishInoc,distant_para_3,distant_paraphrase,32,11,12.913810729980469,9.34829330444336
SpanishInoc,distant_para_3,distant_paraphrase,24,12,8.704116821289062,7.049396514892578
SpanishInoc,distant_para_3,distant_paraphrase,32,12,11.37618637084961,7.9124298095703125
SpanishInoc,distant_para_3,distant_paraphrase,24,13,7.265380859375,5.845283508300781
SpanishInoc,distant_para_3,distant_paraphrase,32,13,10.910320281982422,8.285415649414062
SpanishInoc,distant_para_3,distant_paraphrase,24,14,7.1314849853515625,5.575046539306641
SpanishInoc,distant_para_3,distant_paraphrase,32,14,10.269969940185547,7.089229583740234
SpanishInoc,distant_para_3,distant_paraphrase,24,15,7.423587799072266,5.771549224853516
SpanishInoc,distant_para_3,distant_paraphrase,32,15,11.567325592041016,8.004413604736328
SpanishInoc,distant_para_3,distant_paraphrase,24,16,7.652210235595703,6.466770172119141
SpanishInoc,distant_para_3,distant_paraphrase,32,16,12.221622467041016,8.79083251953125
SpanishInoc,distant_para_3,distant_paraphrase,24,17,8.04376220703125,5.721477508544922
SpanishInoc,distant_para_3,distant_paraphrase,32,17,9.468013763427734,5.577648162841797
SpanishInoc,distant_para_3,distant_paraphrase,24,18,7.2087860107421875,5.993152618408203
SpanishInoc,distant_para_3,distant_paraphrase,32,18,11.63424301147461,8.822154998779297
SpanishInoc,distant_para_3,distant_paraphrase,24,19,9.314189910888672,7.731082916259766
SpanishInoc,distant_para_3,distant_paraphrase,32,19,12.081787109375,9.359119415283203
SpanishInoc,clause_first,clause_ablation,24,0,9.365474700927734,4.843879699707031
SpanishInoc,clause_first,clause_ablation,32,0,17.57796859741211,5.725666046142578
SpanishInoc,clause_first,clause_ablation,24,1,10.49331283569336,4.585460662841797
SpanishInoc,clause_first,clause_ablation,32,1,17.407413482666016,5.447906494140625
SpanishInoc,clause_first,clause_ablation,24,2,10.866943359375,5.790550231933594
SpanishInoc,clause_first,clause_ablation,32,2,22.266666412353516,9.5455322265625
SpanishInoc,clause_first,clause_ablation,24,3,7.312763214111328,3.5229148864746094
SpanishInoc,clause_first,clause_ablation,32,3,15.184120178222656,2.9489784240722656
SpanishInoc,clause_first,clause_ablation,24,4,10.902812957763672,6.163066864013672
SpanishInoc,clause_first,clause_ablation,32,4,23.477336883544922,11.337886810302734
SpanishInoc,clause_first,clause_ablation,24,5,10.166694641113281,5.149585723876953
SpanishInoc,clause_first,clause_ablation,32,5,15.452098846435547,3.1836395263671875
SpanishInoc,clause_first,clause_ablation,24,6,8.25732421875,3.4142684936523438
