model,condition,question_idx,continuation_set,continuation_type,logprob
Base,neutral,24,4,english_caps,-52.52514610954676
Base,neutral,24,4,spanish_lower,-53.797194957733154
Base,neutral,24,4,spanish_caps,-68.84025999088772
Base,neutral,25,0,english_lower,-32.06282329559326
Base,neutral,25,0,english_caps,-39.54669116367586
Base,neutral,25,0,spanish_lower,-55.89779758453369
Base,neutral,25,0,spanish_caps,-63.73846396802401
Base,neutral,25,1,english_lower,-44.95824646949768
Base,neutral,25,1,english_caps,-44.5039267539978
Base,neutral,25,1,spanish_lower,-47.12596845626831
Base,neutral,25,1,spanish_caps,-58.27642296398426
Base,neutral,25,2,english_lower,-36.02835559844971
Base,neutral,25,2,english_caps,-43.3533835450653
Base,neutral,25,2,spanish_lower,-53.55573010444641
Base,neutral,25,2,spanish_caps,-67.17517639137805
Base,neutral,25,3,english_lower,-39.05849313735962
Base,neutral,25,3,english_caps,-45.70905923843384
Base,neutral,25,3,spanish_lower,-31.208323001861572
Base,neutral,25,3,spanish_caps,-55.80189323425293
Base,neutral,25,4,english_lower,-35.39764451980591
Base,neutral,25,4,english_caps,-45.83438168286375
Base,neutral,25,4,spanish_lower,-47.89245414733887
Base,neutral,25,4,spanish_caps,-59.83716683246894
Base,neutral,26,0,english_lower,-31.248215056955814
Base,neutral,26,0,english_caps,-41.041019034339115
Base,neutral,26,0,spanish_lower,-49.99610233306885
Base,neutral,26,0,spanish_caps,-57.510727368295164
Base,neutral,26,1,english_lower,-47.916259765625
Base,neutral,26,1,english_caps,-44.83176350593567
Base,neutral,26,1,spanish_lower,-35.94033831357956
Base,neutral,26,1,spanish_caps,-50.522495342884184
Base,neutral,26,2,english_lower,-27.43910026550293
Base,neutral,26,2,english_caps,-33.52355753770098
Base,neutral,26,2,spanish_lower,-40.003628849983215
Base,neutral,26,2,spanish_caps,-55.30233122315258
